Año;Mes de choque;Rango horario;Cantidad de lesionados;Lugar del accidente;Coordenada X;Coordenada Y
2016;Julio;0 a 5:59;2;SANTA FE Y VERA MUJICA;5437667,4;6355682,73
2016;FEBRERO;0 a 5:59;1;BAIGORRIA Y MOLINA;5434061,2;6360778,83
2016;Octubre;0 a 5:59;1;AU A BS AS A LA ALTURA DE LA SHELL;;
2016;Enero;0 a 5:59;1;BAIGORRIA Y MOLINA;5434061,2;6360778,83
2016;Enero;0 a 5:59;1;PELLEGRINI 1544;5439503,07;6353914,676
2016;Abril;0 a 5:59;1;ALZUGARAY Y PAGO DE LOS ARROYOS;5439257,25;6347586,32
2016;Diciembre;0 a 5:59;1;JOSE INGENIEROS Y SARRATEA;5430640.34;6358086.05
2016;Julio;0 a 5:59;1;SOLIS 500 BIS;5434157,06;6357559
2016;FEBRERO;0 a 5:59;1;BERMUDEZ Y PELIKAN;5439975,19;6348185,23
2016;marzo;0 a 5:59;2;ARIJON Y SALVA;5440171,95;6348730,58
2016;Junio;0 a 5:59;1;AVELLANEDA Y SEGUI;5435743,03;6352143,775
2016;Septiembre;0 a 5:59;4;3 DE FEBRERO Y BALCARCE;5438889,99;6354539,39
2016;Agosto;0 a 5:59;1;OROÑO Y RIVADAVIA;5439173,69;6356562,63
2016;FEBRERO;0 a 5:59;1;CALLAO 6000;5437269,92;6348211,95
2016;Octubre;0 a 5:59;1;BELGRANO Y NUESTRA SRA DEL ROSARIO;5442271990034160;6349164334665830
2016;Septiembre;0 a 5:59;1;MENDOZA Y SUIPACHA;5437772,87;6354910,57
2016;Diciembre;0 a 5:59;1;MONTES CARBALLO Y RIVAROLA;5431554,13;6352703,14
2016;FEBRERO;0 a 5:59;1;DEAN FUNES Y ITALIA;5438748,36;6351923
2016;Octubre;0 a 5:59;1;RICCHIERI Y SAN JUAN;5437932,09;6355039,52
2016;Diciembre;0 a 5:59;1;J J PASO 900;5436659,93;6357993,51
2016;Julio;0 a 5:59;1;RONDEAU 4300;5434599,89;6362903,9
2016;Septiembre;0 a 5:59;1;ESTANISLAO SANCHEZ Y PARAGUAY;5438787.26;6349387.23
